,Log TUFE Tahmin,TUFE Tahmin
2026-03-01,8.27240120335578,3913.3368353276983
2026-06-01,8.34433290446199,4205.275704762319
2026-09-01,8.431798945002816,4589.7511780027935
2026-12-01,8.5153555973847,4989.820466553331
